"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,56078.5213013983,118123.471860302,9646.20694027702,200361.599056043
"2","b_t",1952,64350.3951202215,146318.131920942,12035.4843995407,220367.561904447
"3","b_t",1953,69589.5494024533,170152.99453623,13873.1140683173,231648.838533816
"4","b_t",1954,69079.5980746308,154882.508649775,14553.9442490638,231479.041388455
"5","b_t",1955,71405.5720346713,163142.559247123,15626.8711132874,250786.963642041
"6","b_t",1956,72009.3827882068,166831.217596075,16173.3484624457,257551.680378442
"7","b_t",1957,72258.3397092153,155509.715431767,16003.5207421467,255928.742329448
"8","b_t",1958,73417.6336832071,167991.512517864,15664.8564890524,261869.654726883
"9","b_t",1959,73281.6715036286,183894.44466445,15965.3535821044,250707.566263518
"10","b_t",1960,73457.026845944,185615.687591644,15788.7153188017,248403.708161345
"11","b_t",1961,72777.5873290684,183007.084413712,16300.7681820554,239415.54620279
"12","b_t",1962,70776.0634370708,172978.508495629,15708.556589216,241838.863648631
"13","b_t",1963,72167.8805683283,177406.999381958,15712.1577291795,246260.980201905
"14","b_t",1964,72216.0739860563,168784.203555096,15462.9031955684,245958.474645385
"15","b_t",1965,71329.5860386602,168209.58546502,15581.5929816799,231159.092154588
"16","b_t",1966,73082.2831774792,176314.215582588,15549.6841051642,238430.252111803
"17","b_t",1967,71309.3646055019,160354.721375892,15442.5482060443,249288.264909175
"18","b_t",1968,71653.0450032403,170095.965486307,15981.8836128321,252841.417179938
"19","b_t",1969,72211.6524340634,174335.359149028,15784.1077817867,242197.579184352
"20","b_t",1970,72464.9444395625,181899.429075284,15530.0682073646,232854.784219535
"21","b_t",1971,71755.9132566567,179318.364156207,15945.1633915262,241755.489649391
"22","b_t",1972,70723.3543295091,159856.991332381,15982.6561078202,243644.88723904
"23","b_t",1973,73061.8332468399,177502.833631259,16000.6713342093,250800.463787275
"24","b_t",1974,72435.9450033928,160686.887949874,15754.1013921123,264300.458522463
"25","b_t",1975,72372.571212664,172764.689041552,15956.190734009,249879.959978868
"26","b_t",1976,72329.4814344419,168027.877840321,16241.2707389613,241189.680733688
"27","b_t",1977,70946.8123176587,148243.108411914,16317.5885331138,254710.648396282
"28","b_t",1978,72953.6003825884,167325.500517631,16571.0160853077,259627.644797235
"29","b_t",1979,73222.4149391118,172877.636406785,16299.8775066219,252534.433480133
"30","b_t",1980,72275.19431279,168312.089297613,16371.3804971896,244726.607795993
"31","b_t",1981,70759.6177932589,154247.198461397,16419.9324983912,258981.65959595
"32","b_t",1982,74535.6355486454,180664.74206138,15874.3528765765,256200.981521887
