"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,53011.4001488712,86302.0617810556,16557.1472797794,102176.942140855
"2","b_t",1952,59087.7265819902,102434.032832605,21572.1001991711,125252.199010106
"3","b_t",1953,63269.7810408758,127972.846082261,23336.3323806785,133945.415682979
"4","b_t",1954,63602.2157153646,86374.1081230296,25679.406984115,132233.382870754
"5","b_t",1955,61511.786779122,79541.0342748003,23979.7246162258,131297.95794857
"6","b_t",1956,59997.6626886255,84736.2484958581,22336.4491617118,128979.413148231
"7","b_t",1957,57464.4117372594,84254.1167893519,20323.5266207703,118515.058892331
"8","b_t",1958,57002.7315294892,83867.3708628626,20649.7202817292,120469.726161942
"9","b_t",1959,59119.679778814,89831.6059920893,21793.9169379824,117534.795145301
"10","b_t",1960,59433.1092958956,85176.0472444787,21748.1800283603,125147.069524961
"11","b_t",1961,59585.017061852,82777.3160032112,22790.4060824037,122594.193855557
"12","b_t",1962,60844.1962155996,100755.133749588,22684.0354601674,120205.284285772
"13","b_t",1963,59568.6742552251,109293.478805147,21230.5428092552,121546.991144409
"14","b_t",1964,60407.2784726126,118270.055734185,21275.0599935424,127597.570050087
"15","b_t",1965,61114.8945701664,115864.946712299,21248.2446860173,125308.285813374
"16","b_t",1966,62431.32034675,135893.342992675,22081.2546706524,122234.769803559
"17","b_t",1967,61584.013414245,106155.577665557,22008.8852655289,131331.636754154
"18","b_t",1968,61111.3537665918,97924.903183826,21367.072720388,128394.451653644
"19","b_t",1969,60069.4596146621,89979.9046305858,21696.1067535186,124755.696202765
"20","b_t",1970,60499.602012341,96325.2953225833,21224.0106429511,124705.192502707
"21","b_t",1971,59375.4167126125,93194.2674846856,21542.1084944977,120572.269029149
"22","b_t",1972,58018.0064100641,93085.6501064681,20536.9745030309,120014.896806125
"23","b_t",1973,61492.7450123892,129469.407208766,21812.886124965,120236.578269338
"24","b_t",1974,61074.6063085906,140397.9868828,21197.2278493262,119748.191117894
"25","b_t",1975,60265.4002895204,110164.250845939,22265.9724594157,120741.044761169
"26","b_t",1976,59930.6825753538,94241.3389120811,22296.8889326757,121065.159866897
"27","b_t",1977,62447.5329299196,119452.10198983,23053.4241267797,122766.136686554
"28","b_t",1978,63771.1839149632,146073.604155271,23092.6228208305,127284.935974432
"29","b_t",1979,63973.643708815,160965.564134406,23824.7672323812,128939.90810182
"30","b_t",1980,61302.0622928429,95564.261395556,22313.6558886307,120451.376788815
"31","b_t",1981,62816.1918648705,126352.472565775,22595.3663716745,127732.873314076
"32","b_t",1982,62725.0247363966,136635.224471856,22176.8360343843,122706.72772278
"33","b_t",1983,59274.9324663047,91785.2111818879,21880.7075471722,122699.676624213
"34","b_t",1984,62954.0790579227,125470.498770253,22403.8666318492,129633.878490225
"35","b_t",1985,67634.7460240517,99191.041779646,25557.3357127301,136110.579359785
"36","b_t",1986,79290.3126582198,128045.375518723,33140.110354524,153133.543217791
"37","b_t",1987,82865.6295238067,123632.526981226,35742.444771506,161775.836937209
"38","b_t",1988,92504.3297291905,162007.090124738,38339.9858089545,180591.796543871
