"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,271186.808928064,385309.843637277,51737.8568144505,753353.292739517
"2","b_t",1952,313738.313735732,431783.004974721,68943.3687758348,852861.350529205
"3","b_t",1953,338385.809646838,446647.5830832,75919.4134419394,940345.94080736
"4","b_t",1954,354234.70949159,466740.303974428,79348.5398939081,989652.581624989
"5","b_t",1955,359837.386150937,471988.734568483,82036.5020086329,1030446.97263467
"6","b_t",1956,361714.059580086,469611.150716116,82799.3473842737,1002066.73049745
"7","b_t",1957,362448.219298687,462598.936402243,82436.8874211498,1001709.33484625
"8","b_t",1958,362371.170359272,470659.938843253,81293.808594162,980208.795743951
"9","b_t",1959,364285.152447299,474199.386576605,81933.0368353815,990434.943626789
"10","b_t",1960,364581.674800801,485199.933968986,80893.8401626019,1037145.00003061
"11","b_t",1961,365024.473302479,482608.248964571,80692.648051999,1030421.35359798
"12","b_t",1962,362806.938377901,464976.22536454,80582.8420943675,997675.052257
"13","b_t",1963,365433.743624256,485768.516354372,81700.2828223201,1026281.96561851
"14","b_t",1964,365265.655388564,476246.591569643,81884.8810940647,1017191.8198443
"15","b_t",1965,363332.76708312,469496.261240938,82393.697262656,1017103.92019814
"16","b_t",1966,365149.070359599,469666.367516589,81766.2241274593,1012370.07147014
"17","b_t",1967,362986.799911425,469828.243504768,81356.8768131101,1014853.370163
"18","b_t",1968,363336.516610645,470807.272811753,81807.5231339527,1001992.79549689
"19","b_t",1969,366550.502771267,495813.062189984,81369.3431998929,1006568.70827061
"20","b_t",1970,364201.582616203,474968.994029051,81588.7895155671,995053.74431155
"21","b_t",1971,365113.819963919,482627.979513731,82712.3799462412,1000052.39957559
"22","b_t",1972,365662.945472003,477402.405453243,82222.3288661044,1005331.78398517
"23","b_t",1973,364142.070732874,466045.323818395,82563.4326750559,1001073.73808285
"24","b_t",1974,364319.012718807,469775.293167291,82272.5688368551,1047460.06569951
"25","b_t",1975,367066.861716428,484648.710377489,81578.3782763768,1035412.84337961
"26","b_t",1976,362730.187695232,468427.327156695,80865.7578007575,1034834.26451761
"27","b_t",1977,364379.472624958,477218.137130448,80984.307962459,1017323.92602184
"28","b_t",1978,364207.559559904,475925.214407098,80807.6021419114,1000080.89974081
"29","b_t",1979,361840.635340662,469804.341415203,79719.1404138628,1005865.36545745
"30","b_t",1980,364691.409467328,480700.459937088,80457.9824563117,1032216.56568457
"31","b_t",1981,364390.826999048,476075.354678407,80217.4494878157,998407.863502431
"32","b_t",1982,357704.049441538,470058.939858349,77133.7887450546,991066.845744984
"33","b_t",1983,356268.589683861,475672.668152224,73931.2337013076,1009584.29172526
"34","b_t",1984,358516.335209003,492420.412312134,72579.5147203454,1043971.92197027
"35","b_t",1985,356051.541091753,474974.57374545,75317.9758433936,1015279.09543199
"36","b_t",1986,357201.731316853,473605.805053763,74584.668041328,1014787.61394199
"37","b_t",1987,356967.730844756,471859.672068283,72804.5752718883,1006123.65940112
"38","b_t",1988,357210.950969316,472815.082029332,75220.6407304852,1026106.8262997
"39","b_t",1989,355518.607967949,470746.901490703,75918.0102659154,973680.038588203
"40","b_t",1990,348882.888705238,480287.2957286,66966.9203567859,982016.691669359
"41","b_t",1991,343169.507434692,478619.871955333,63082.2720172827,985810.994100145
"42","b_t",1992,321907.010219132,438086.497855226,58173.0835424052,915409.384348963
"43","b_t",1993,335505.504410966,447207.04546607,61181.2148949078,945893.106347532
"44","b_t",1994,363288.52697943,487525.527259581,69124.7538243505,1021117.63543319
"45","b_t",1995,394132.159209814,525143.540826976,74890.7364111667,1110733.94865467
"46","b_t",1996,358698.319553355,487730.044784262,67747.4610505034,1033063.08195482
"47","b_t",1997,372593.594492547,493857.542596391,70411.5809342265,1075273.64219218
"48","b_t",1998,337508.074465658,458002.620159564,60486.5725742682,958548.787210694
"49","b_t",1999,348593.694631081,474345.368555325,63914.6293094348,994915.809441766
"50","b_t",2000,327881.947421325,447227.64399901,61056.5673535078,929852.226062598
"51","b_t",2001,336297.965978949,456329.981070237,61947.6859862801,988275.63360513
"52","b_t",2002,336631.530521,457397.58387048,62141.2910316444,966722.100628904
"53","b_t",2003,385810.11141433,534859.953637842,69704.7834838449,1098658.17541775
"54","b_t",2004,344548.398316509,469258.810894563,64178.450063655,981076.373294869
"55","b_t",2005,329373.85380423,450700.293707551,60784.5416315407,909580.858690795
"56","b_t",2006,336910.69873926,462724.03068623,63489.4540981322,945882.143938668
"57","b_t",2007,341270.995664024,469199.492331722,63533.296378002,942207.444383146
"58","b_t",2008,339904.833330639,460105.056307708,62530.3908944273,972730.400315162
"59","b_t",2009,347825.194116181,477681.581552278,65080.1248346651,1010757.10673748
"60","b_t",2010,336417.141911884,460860.472945042,61386.47847488,940536.926220719
"61","b_t",2011,349433.093911285,471540.265702849,65834.7021901977,990916.610734657
"62","b_t",2012,356257.846898934,489498.935724397,66526.0762086742,1042084.87178244
"63","b_t",2013,378888.087046296,513468.866464116,70707.3848401108,1093283.95537687
"64","b_t",2014,394779.842424589,536011.155013824,74545.8973953098,1121574.78179298
"65","b_t",2015,373717.520111319,507882.578314009,69970.1214753739,1078962.53382373
"66","b_t",2016,368689.065424293,512561.933394068,67169.6457631052,1026523.51993158
"67","b_t",2017,313409.778371506,426631.260129194,59142.8214541776,891825.630225036
"68","b_t",2018,315990.6793994,429109.527253882,59091.8994025001,876783.454203615
"69","b_t",2019,316061.669899971,439972.072809772,58592.5096586533,903775.879860783
"70","bmsy",1951,184538.046226703,238238.240828658,42809.4594893217,508683.788872064
"71","ck",1951,0.00530135618022077,0.00350139565914438,0.000994724504366822,0.0118198233787549
"72","ck",1952,0.00687290445498978,0.00453935879920695,0.00128960331000916,0.0153237235898482
"73","ck",1953,0.00687814294923901,0.00454281867634049,0.0012905862393613,0.0153354032572186
"74","ck",1954,0.00583568259364224,0.00385430312676566,0.00109498329828522,0.0130111494505266
"75","ck",1955,0.00578853614539917,0.00382316423256378,0.00108613693411595,0.0129060324441938
"76","ck",1956,0.00683099650099594,0.00451167978213861,0.00128173987519203,0.0152302862508858
"77","ck",1957,0.00790488782208809,0.0052209545945147,0.00148324039238096,0.0176246180617995
"78","ck",1958,0.00894210968343563,0.00590601026695599,0.00167786040410491,0.0199371922011212
"79","ck",1959,0.00947119760260787,0.00625545785744372,0.00177713626867116,0.0211168386055226
"80","ck",1960,0.0089368711891864,0.00590255038982245,0.00167687747475277,0.0199255125337508
"81","ck",1961,0.0100264779930262,0.00662220483359916,0.00188132677999812,0.0223548833467756
"82","ck",1962,0.00791536481058655,0.00522787434878178,0.00148520625108524,0.0176479773965402
"83","ck",1963,0.00630714707607294,0.00416569206878442,0.00118344693997792,0.0140623195138546
"84","ck",1964,0.00635429352431601,0.0041968309629863,0.00119229330414719,0.0141674365201874
"85","ck",1965,0.00584092108789147,0.0038577630038992,0.00109596622763736,0.0130228291178969
"86","ck",1966,0.00856493809749107,0.00565689911334098,0.00160708949075074,0.0190962561504588
"87","ck",1967,0.0109274990038938,0.00721730370056836,0.00205039062856639,0.0243637861344691
"88","ck",1968,0.00913593397065714,0.00603402572089704,0.00171422879013413,0.0203693398938227
"89","ck",1969,0.00957596748759247,0.00632465540011456,0.00179679485571398,0.0213504319529288
"90","ck",1970,0.00890544022369102,0.0058817911270212,0.00167097989863992,0.019855434529529
"91","ck",1971,0.00942928964861403,0.00622777884037539,0.00176927283385403,0.0210234012665601
"92","ck",1972,0.00890544022369102,0.0058817911270212,0.00167097989863992,0.019855434529529
"93","ck",1973,0.00785774137384502,0.00518981570031282,0.00147439402821169,0.0175195010554667
"94","ck",1974,0.00841826025851263,0.0055600225536018,0.00157956746889079,0.01876922546409
"95","ck",1975,0.0106289048316877,0.00702009070395648,0.00199436365549435,0.0236980450943613
"96","ck",1976,0.0123314154626875,0.00814455077235759,0.00231381569494022,0.0274939369897125
"97","ck",1977,0.0121690221409613,0.00803729458121779,0.00228334488502384,0.0271318673012328
"98","ck",1978,0.0116032647620445,0.00766362785079527,0.0021771885149926,0.0258704632252392
"99","ck",1979,0.0123052229914413,0.00812725138668988,0.00230890104817951,0.0274355386528609
"100","ck",1980,0.0101783943262539,0.00672254127047188,0.00190983173121021,0.0226935937005146
"101","ck",1981,0.0334949322295767,0.0221224543918668,0.00628485027759037,0.0746797931657696
"102","ck",1982,0.0385291252030868,0.0254473963172005,0.007229445384998,0.0859039535086386
"103","ck",1983,0.0416355522928801,0.0274991034573909,0.00781232249081769,0.0928299962592331
"104","ck",1984,0.0306399528637464,0.0202368213540865,0.00574915378067346,0.06831437444895
"105","ck",1985,0.0352236353318226,0.0232642138459356,0.00660921696379695,0.0785340833979723
"106","ck",1986,0.0397025479149143,0.0262224087951139,0.00744962155987761,0.0885201989995883
"107","ck",1987,0.0364022965378994,0.0240426862009825,0.0068303760680287,0.0811620085562923
"108","ck",1988,0.0273606554637284,0.0180709382684892,0.00513384000623311,0.0610029026751352
"109","ck",1989,0.0743237564080754,0.0490887367706922,0.0139458016481783,0.165711120649975
"110","ck",1990,0.0692686094575685,0.0457499553368243,0.0129972748233621,0.154440241637625
"111","ck",1991,0.0843397574126032,0.0557040218500243,0.0158251625694722,0.18804264466201
"112","ck",1992,0.0622595041520987,0.0411206397321453,0.0116821153501973,0.138812846696148
"113","ck",1993,0.047188356197064,0.0311665732189453,0.00885422760408728,0.105210443671763
"114","ck",1994,0.0552923068006228,0.0365190031445346,0.0103748193118496,0.123278889093634
"115","ck",1995,0.0799918071857423,0.0528323238291845,0.015009331207195,0.178348520744651
"116","ck",1996,0.0567590851904072,0.0374877687419263,0.0106500395304491,0.126549195957321
"117","ck",1997,0.10075719838969,0.0665472767865445,0.0189056631590825,0.224646722200565
