"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,104415.820940604,148745.789169885,22703.0546358321,277880.900841395
"2","b_t",1952,118829.437044289,170821.237084131,27478.9046995745,307101.950046144
"3","b_t",1953,129174.097226545,192993.954086647,31369.2826661684,331282.10779315
"4","b_t",1954,133178.71744147,194840.89699901,32809.0245056648,341124.626509152
"5","b_t",1955,135785.45850827,183456.580959848,33277.012788818,347208.221433199
"6","b_t",1956,139004.450996258,203600.96169216,34238.2740601248,355643.015414271
"7","b_t",1957,138392.763635861,186764.400282586,34224.574775762,354195.286090094
"8","b_t",1958,139222.30703447,190943.073671923,34977.1768730676,356427.966235824
"9","b_t",1959,139292.161377764,193220.706114704,34881.5678746793,353740.921191797
"10","b_t",1960,139822.359420615,189763.559979299,35272.8485268937,357609.340076691
"11","b_t",1961,140284.201746105,185272.629009085,34560.2003121369,360913.570211471
"12","b_t",1962,140755.202612922,199629.907998932,35053.3952508238,366100.535241839
"13","b_t",1963,139401.888354638,196538.082288304,35665.0643332772,357054.101040991
"14","b_t",1964,138473.251313479,179096.623851435,35570.2552771535,347536.540222831
"15","b_t",1965,139685.503931108,181583.625800237,35339.1610598252,361928.257367243
"16","b_t",1966,139068.460501763,191724.506343012,35082.242995643,358142.553234322
"17","b_t",1967,138415.078504567,192732.535161615,34107.5594271241,359613.012730853
"18","b_t",1968,139353.433840044,203134.057380635,33932.3886080068,358694.767296629
"19","b_t",1969,139595.926962682,204892.880466463,34078.0621203249,354566.492348566
"20","b_t",1970,138414.444170477,193715.563600095,33333.8081314069,350087.890176133
"21","b_t",1971,138564.619374399,205204.751530391,33341.7209829217,352513.332734674
"22","b_t",1972,139267.130760267,205489.134990741,33054.8809275958,357622.624526535
"23","b_t",1973,137580.182634336,195040.851074556,33053.2452105368,362633.94958324
"24","b_t",1974,136500.310052513,176212.210986355,32431.029846454,348380.225864202
"25","b_t",1975,136233.027241006,176859.526190834,31231.4922172483,346276.77388871
"26","b_t",1976,135301.959320153,190049.568388873,31728.4556983165,349881.325729211
"27","b_t",1977,136158.775201121,197012.180054712,30820.1295853177,357253.26306006
"28","b_t",1978,137380.304272774,214106.234273536,32046.0448646803,355261.556714284
"29","b_t",1979,135684.433323468,179876.160894045,31942.4007342806,364281.957452115
"30","b_t",1980,135582.18777405,197192.740727187,31520.617751634,358419.390431025
"31","b_t",1981,135092.413707758,187100.111441202,30929.8286305826,352817.741201869
"32","b_t",1982,133195.648780175,176450.359612643,28427.4238735821,359666.972807696
"33","b_t",1983,132913.905856498,195792.978741629,27764.3595866362,351026.195706895
"34","b_t",1984,132044.431323972,187293.385877136,26739.5247082785,346743.940309765
