"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,549700.194290492,673360.417047378,91875.7543919898,1687315.08600622
"2","b_t",1952,544829.846084716,638735.392697204,64783.5462462142,1715870.99504669
"3","b_t",1953,600561.699549871,972640.048728657,62300.6805901047,1857623.40786531
"4","b_t",1954,615972.456609335,886366.900634052,67818.1810659312,2259564.73356716
"5","b_t",1955,580566.748792779,794966.263357339,72706.3706042595,2191156.07819889
"6","b_t",1956,539670.056374168,1010442.7705855,60488.1852830232,1758953.23873668
"7","b_t",1957,604332.233374891,1217648.88182491,54587.0634856703,1998988.17790777
"8","b_t",1958,538181.076240006,894825.885866172,61659.1518763648,1801195.8174602
"9","b_t",1959,535627.629997701,910563.827619077,53049.739717135,1989124.28641236
"10","b_t",1960,602985.09888466,1205133.79247494,52071.9447588473,1824149.31654401
"11","b_t",1961,623023.255590011,1060147.40293813,49839.1332223949,2008980.80460636
"12","b_t",1962,628990.777097065,1082134.40192794,45224.9278483693,2318267.36705604
"13","b_t",1963,613651.102373345,950420.21170661,46716.2919957146,2161448.45996228
"14","b_t",1964,513390.33948193,703983.471664079,59174.7587932288,1836188.16842602
"15","b_t",1965,561314.364180093,942992.504818419,49080.5849094446,1962829.28387469
"16","b_t",1966,640612.659345403,1164221.56725571,54613.6045561629,2090831.04568604
"17","b_t",1967,648555.096709811,1266787.78282056,45521.1316869834,2238211.66518624
"18","b_t",1968,555180.89557012,1124599.43833485,54047.7126334179,1704683.47094787
"19","b_t",1969,524037.730598088,746977.009631019,45803.9034156181,1801850.81062967
"20","b_t",1970,516731.547103324,1050070.80632902,43638.6537273978,1736103.31745201
"21","b_t",1971,526237.491102802,998311.393389494,50504.4953902024,1896543.16946225
"22","b_t",1972,549817.65447454,1170281.29358409,48323.546274374,1464430.75606883
"23","b_t",1973,584961.792309068,1097000.56864713,31393.7024552213,2159276.01809847
"24","b_t",1974,571851.467441625,1067305.75775635,29316.9253373012,1807743.03760555
"25","b_t",1975,585311.909584898,1019376.16400472,29388.761367523,2259711.66390646
"26","b_t",1976,620876.802543774,1308263.02974874,32922.4885324385,2244801.83421606
"27","b_t",1977,529400.656158711,892084.870713985,35167.9646570659,2033093.97037898
"28","b_t",1978,585033.393741757,903301.659683668,41515.7424794229,2094494.04483641
"29","b_t",1979,491688.037207252,607079.131818078,55702.6285091582,1752181.50959248
"30","b_t",1980,556794.938592965,836011.874307456,61812.9013556281,2075085.67837275
"31","b_t",1981,464623.404600085,710324.679779329,41370.2816249905,1646688.25850835
"32","b_t",1982,488679.29812398,662096.358282547,42117.1125631521,1860207.89335709
"33","b_t",1983,451278.00594539,590712.43492562,44652.0882043789,1595662.50330304
"34","b_t",1984,539509.145485263,828044.460906651,49450.2495409417,1942632.76373709
"35","b_t",1985,595823.876786621,947644.071536059,50171.5511612552,1970062.32455117
"36","b_t",1986,497314.777666467,636395.275177495,50876.5274122165,1596921.01272994
"37","b_t",1987,609037.51400493,1036932.44714477,76085.8390837394,1963357.97851405
"38","b_t",1988,658756.990437771,955275.41115652,96442.4939044281,2285926.98639083
"39","b_t",1989,886906.722942998,1211859.17424298,149281.053470754,2774768.79787656
"40","b_t",1990,950911.567706012,1403428.58805025,144456.134814148,2905173.33578399
"41","b_t",1991,731407.784005372,1253951.66409555,98984.4678471292,2201225.51189028
"42","b_t",1992,720247.346356235,1010602.87910503,85008.3887305023,2254955.22795684
"43","b_t",1993,886376.514060508,1382540.94637112,108256.675369915,3018232.16979347
"44","b_t",1994,714589.788919781,995300.86531648,94653.7764080932,2216587.40775776
"45","b_t",1995,806836.865755312,1159146.01769301,102437.614255104,2529333.2414143
"46","b_t",1996,1300186.29801648,2171814.4098849,63560.8430590164,4254091.64246992
"47","b_t",1997,103296.803667236,146567.103432015,18360.4301472432,346863.231869405
"48","b_t",1998,92788.461389167,129444.083864197,15897.8846127182,328475.690031512
"49","b_t",1999,81385.4314933584,122590.268941941,13372.6931293967,255336.97585739
"50","b_t",2000,110048.923224234,173392.005966164,11547.4440233984,359787.521764395
"51","b_t",2001,172422.525830723,233298.211364325,22723.5126706878,523938.240992706
"52","b_t",2002,229538.71580972,359293.312394456,26786.9908598789,750775.299313013
"53","b_t",2003,282396.253416692,519224.100584674,31250.2299470212,843214.746456201
"54","b_t",2004,432052.285848166,682743.480197589,55658.0795336169,1300386.93768644
"55","b_t",2005,561224.423770956,940125.121521201,65533.5425917492,1857174.96782439
"56","b_t",2006,385681.074581608,513398.665112836,55293.6872941636,1267793.84453963
"57","b_t",2007,932439.618294787,1444418.08494545,95663.5150345485,3252763.4059425
"58","b_t",2008,253802.249023695,350505.629166033,34797.3664269602,910933.868740705
"59","b_t",2009,211829.508212709,357775.426871838,29543.2673424576,614857.224637322
"60","b_t",2010,342622.923555204,486778.151016929,43886.259312034,1117687.41713214
"61","b_t",2011,565802.842939802,953158.064068327,65312.2306901348,1801505.54533801
"62","b_t",2012,604386.768602337,835385.019789613,85507.5468424921,1923928.48102478
"63","b_t",2013,643725.78923156,1023195.13473861,90886.4727970277,1925902.99034585
"64","b_t",2014,600139.095595527,898430.761879448,67635.3802463814,2042607.86701822
"65","b_t",2015,703157.148797794,1246781.17811688,70737.9503077327,2418095.18953626
"66","b_t",2016,678472.328471467,927933.597159628,59156.0741196278,2293384.55607435
"67","b_t",2017,588978.748990793,773819.701886611,55469.0325844203,2059390.13190134
"68","b_t",2018,494300.021352314,666689.570805978,46343.396032506,1574626.85818912
"69","b_t",2019,557543.163280774,839141.465413787,24388.4146947898,1896633.41761852
"70","bmsy",1951,382370.774406668,499490.809192344,69913.0639386962,1084980.75686935
"71","ck",1951,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"72","ck",1952,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"73","ck",1953,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"74","ck",1954,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"75","ck",1955,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"76","ck",1956,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"77","ck",1957,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"78","ck",1958,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"79","ck",1959,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"80","ck",1960,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"81","ck",1961,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"82","ck",1962,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"83","ck",1963,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"84","ck",1964,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"85","ck",1965,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"86","ck",1966,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"87","ck",1967,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"88","ck",1968,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"89","ck",1969,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"90","ck",1970,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"91","ck",1971,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"92","ck",1972,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"93","ck",1973,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"94","ck",1974,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"95","ck",1975,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"96","ck",1976,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"97","ck",1977,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"98","ck",1978,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"99","ck",1979,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"100","ck",1980,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"101","ck",1981,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"102","ck",1982,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"103","ck",1983,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"104","ck",1984,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"105","ck",1985,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"106","ck",1986,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"107","ck",1987,2.9975998962344e-08,2.2421241421042e-08,4.60839683105809e-09,7.15173955736311e-08
"108","ck",1988,0.0134891995330548,0.0100895586394689,0.00207377857397614,0.032182828008134
"109","ck",1989,0.0157373994552306,0.011771151746047,0.0024194083363055,0.0375466326761563
"110","ck",1990,0.0179855993774064,0.0134527448526252,0.00276503809863485,0.0429104373441786
"111","ck",1991,0.022481999221758,0.0168159310657815,0.00345629762329357,0.0536380466802233
