"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,42929.8239505049,13357.9826743873,21415.105092756,63846.6816549481
"2","b_t",1952,45090.9322599853,12642.2379460173,25062.3591154155,64748.2702972742
"3","b_t",1953,46978.6943451158,11903.027626917,28042.5314381187,65807.6664858452
"4","b_t",1954,48782.2933682036,11244.3880135231,31365.7863921171,66484.5908695918
"5","b_t",1955,50293.563080756,10594.2170928613,34633.9163409297,67491.872574254
"6","b_t",1956,51666.4305593804,10018.2098310216,36974.1209021695,68321.077499477
"7","b_t",1957,52758.2686909263,9601.80947414428,38615.6769898341,68809.9499946361
"8","b_t",1958,53617.0734015625,9409.74161521888,40252.7497585045,69863.8957436682
"9","b_t",1959,54372.9603756372,9230.49482236484,41519.4140016292,70406.7831782773
"10","b_t",1960,54933.0602673874,8882.63705494816,42440.7838927708,70081.563983367
"11","b_t",1961,55387.5593168487,8701.8773792591,42887.7355358027,70344.679128754
"12","b_t",1962,55881.4565209883,8779.41663479002,43561.1246311357,70892.5071251815
"13","b_t",1963,56104.4030049397,8743.74233404747,43688.0974002162,70939.451266389
"14","b_t",1964,56393.9502989145,8761.52508701933,43946.2172809079,71363.5564089867
"15","b_t",1965,56559.2944479695,8899.6346676757,43349.3706771817,71575.8973445854
"16","b_t",1966,56708.4622487039,8976.38924844614,43269.8204323138,71995.1407465984
"17","b_t",1967,56831.6829042571,9133.13952040758,43693.016969638,72483.9339188085
"18","b_t",1968,57114.719912249,9223.844129439,43788.1067479889,72535.612883481
"19","b_t",1969,57275.7433082423,9329.56320502108,43906.1980240697,73375.4647200929
"20","b_t",1970,57496.3726971892,9543.59600761347,44382.2714539363,73782.8523324336
"21","b_t",1971,55367.9174644855,9555.81611055313,41908.7575159746,71385.2535946508
"22","b_t",1972,54009.6883507773,9620.45127562494,40581.3506770951,70483.9511894618
"23","b_t",1973,52222.9310717028,9507.47298492237,39120.638190925,68448.7489607839
"24","b_t",1974,51395.0899828948,9353.99358830982,38348.6587438997,66943.7391192854
"25","b_t",1975,50944.2340497814,9461.04866455454,37751.2033268618,66405.1714862747
"26","b_t",1976,50790.8846274218,9418.00139612877,37733.4422950238,66411.9193160606
"27","b_t",1977,51076.5974650574,9293.46879360519,38058.316119266,66982.6974893648
"28","b_t",1978,51115.809767072,9302.14564484103,38126.728323047,66978.1478358294
"29","b_t",1979,51271.6039120692,9266.08443001792,38672.6619256683,66725.5793033272
"30","b_t",1980,51562.3002630673,9243.87407003326,38445.8972538387,67292.0492265232
"31","b_t",1981,52539.2039049145,9187.18796526092,39724.3997582312,68539.850228683
"32","b_t",1982,53382.2231596525,9167.52403117626,40300.9754531753,68912.7247564158
"33","b_t",1983,53711.4764371441,9042.20408025831,40822.3931225449,68836.747655522
"34","b_t",1984,53644.6180097645,8960.50833053122,40994.400442006,68520.5169753741
"35","b_t",1985,50477.4235105137,8519.99251568937,38655.1711842273,64831.2760543231
"36","b_t",1986,47270.4617773005,7968.05984614221,36051.4411114637,60751.4218190438
"37","b_t",1987,44117.1222592112,7445.9205674058,33644.4242582066,56625.517476189
"38","b_t",1988,40113.281674739,6880.4587752656,30712.3635630146,51692.6458014082
"39","b_t",1989,37233.5678885491,6276.49167200391,28508.1239209518,47865.0905871623
"40","b_t",1990,35221.1382687704,5815.45224551761,27187.5966553997,45165.4825928846
"41","b_t",1991,32526.034753698,5401.6011362058,25026.8512307282,41760.0135371779
"42","b_t",1992,31146.1405021011,5020.19368610835,23992.0698196264,39691.2940567087
"43","b_t",1993,28981.7265035053,4745.34310090901,22327.1314415331,37140.3206384636
"44","b_t",1994,26879.9233555549,4598.02867859091,20554.570562337,35141.4080608915
"45","b_t",1995,26206.0959060302,4500.15935219505,19981.9127844892,33952.4933238904
"46","b_t",1996,25337.44630498,4341.98475228409,19341.1699826445,33182.8990134125
"47","b_t",1997,24157.6840030848,4096.33161304424,18494.247520785,31234.9301990869
"48","b_t",1998,22573.0707172698,3911.96035813321,17249.0087504737,29418.5297912134
"49","b_t",1999,21358.0964657903,3643.09033729696,16196.7550545037,27876.8524254888
"50","b_t",2000,20372.6836414323,3487.91574689016,15524.0547069385,26443.9939484983
"51","b_t",2001,20226.9129285781,3477.01688603232,15386.105806319,26133.3989124274
"52","b_t",2002,20007.0196342023,3409.86240395673,15230.5559052387,25929.1980112147
"53","b_t",2003,20423.4286871293,3512.4350904115,15533.4800073016,26430.5306479824
"54","b_t",2004,22666.24450994,3773.38032854219,17507.410147691,29134.6972748782
"55","b_t",2005,25097.6870015556,4066.94602737481,19525.6261686746,32194.4020490672
"56","b_t",2006,25334.750119129,4342.2085702233,19404.1785754866,32977.5604654244
"57","b_t",2007,25432.9007413135,4665.8527307195,18960.948653323,33506.2934568362
"58","b_t",2008,25959.0297365439,5032.5819697968,19087.7470260998,34359.4013416282
"59","b_t",2009,26841.107373758,5302.21482486826,19429.8283523666,35665.8809060697
"60","b_t",2010,28037.363181915,5670.3907504916,20035.9497378797,37688.2449806667
"61","b_t",2011,30367.790287603,5956.29087741424,21736.307072872,40235.3793724677
"62","b_t",2012,32652.1308846347,6206.15259067167,23748.6695384481,43088.3775479402
"63","b_t",2013,32736.6026122356,6407.74690212469,23523.9694058065,43325.8582165723
"64","b_t",2014,33027.0050700903,6665.75230169351,23026.4919680059,44314.9500520926
"65","b_t",2015,32935.2361693251,6878.40686950801,22769.9667495659,43893.6765243665
"66","b_t",2016,32009.3411874296,6999.50798796533,21570.1286737486,43267.591385508
"67","b_t",2017,30319.6399370663,7229.12694578852,19556.3536991478,42002.809006716
"68","b_t",2018,29001.803621152,7457.44474438708,17724.8079736565,40863.823534436
"69","b_t",2019,26755.4097369343,7815.86919515802,14797.0752359547,39133.9290323655
"70","bmsy",1951,28893.596515167,4230.61616693544,22968.6749398009,35708.2304343908
"71","ck",1951,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"72","ck",1952,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"73","ck",1953,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"74","ck",1954,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"75","ck",1955,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"76","ck",1956,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"77","ck",1957,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"78","ck",1958,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
"79","ck",1959,1.76674497988189e-07,2.53230700732254e-08,1.40023741951506e-07,2.17687792184457e-07
