"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,12220.8625415974,15872.7319428866,1661.03423538525,36207.1807768103
"2","b_t",1952,80.6999871322095,112.678524594648,7.51396778212182,265.496704900909
"3","b_t",1953,9.72947342937926,15.7303307205545,0.901689758891495,31.2123187255145
"4","b_t",1954,3.94309666709451,6.59768746744402,0.393475987835777,12.8457568903204
"5","b_t",1955,3.13497737370196,4.23798563081367,0.268112687298366,10.8759305669572
"6","b_t",1956,3.84973682908108,6.22185215336426,0.244666004585454,12.50422966687
"7","b_t",1957,7.99815403023276,10.735972663334,0.884790063599014,23.7110195596268
"8","b_t",1958,66.7243681569902,92.300507182063,7.01520636585516,210.363547273193
"9","b_t",1959,10831.5490698027,12857.2428846834,2082.23848473952,30156.2977064926
"10","b_t",1960,64668.8953965464,94903.5455003923,8231.14958465823,215677.797616119
"11","b_t",1961,137751.066839453,206821.104828424,14237.2348348082,426334.541809859
"12","b_t",1962,190463.563697706,237414.420452979,19404.0569378976,583577.424357469
"13","b_t",1963,188150.08167107,221597.504637313,21909.8277855707,592447.85923542
"14","b_t",1964,208918.377504631,256718.329961752,22824.8156639927,655809.43432793
"15","b_t",1965,237397.405808356,267116.0861558,29071.7198723065,732693.413378224
"16","b_t",1966,251159.404396775,279990.872093098,37120.6600756892,715308.674211573
"17","b_t",1967,280105.534821173,322968.3129419,43831.0393736496,784468.034510238
"18","b_t",1968,279361.72059408,305542.88005191,41690.1668545576,829624.339952849
"19","b_t",1969,286919.153611913,321868.504289721,41738.9053314367,821268.276518854
"20","b_t",1970,279534.400336947,311048.103828232,29966.2668056514,795215.354011294
"21","b_t",1971,306281.193124542,347141.731297448,41027.981385608,865623.829758957
"22","b_t",1972,297330.029538004,315321.464677779,39010.51836682,839188.115318756
"23","b_t",1973,289785.308326548,327219.628985685,39974.2866049593,858057.484932349
"24","b_t",1974,311361.272565372,316315.535986768,46661.6461711743,880483.483494174
"25","b_t",1975,296934.34310409,304702.560452199,41615.087153222,830146.842229615
"26","b_t",1976,257774.778862827,292201.870980128,31179.7430792729,801191.548491631
"27","b_t",1977,197566.748547895,265124.807400905,21083.6266198033,625282.889276343
"28","b_t",1978,148143.827815986,181335.127435216,16122.08014538,426112.330770465
"29","b_t",1979,131969.829836593,194602.535651724,14851.1444445423,410420.442521216
"30","b_t",1980,112258.551434742,148430.855938464,12513.4929757569,378375.664056038
"31","b_t",1981,107074.651769245,146156.11153322,12120.397949514,371186.850094927
"32","b_t",1982,119735.519195048,159119.023242085,13252.5590520301,372096.462514814
"33","b_t",1983,134194.338346733,157791.850571799,14819.5439540222,405268.013373418
"34","b_t",1984,127671.885464465,160557.75640525,14990.6133162127,412803.049741779
"35","b_t",1985,115591.785158042,176731.337008181,12680.1621902153,353862.049855141
"36","b_t",1986,113755.155397726,150718.395192023,12999.5214051092,360739.062372716
"37","b_t",1987,121226.439258013,165399.472471322,12365.0398596902,436049.684853325
"38","b_t",1988,122601.644665945,171659.679768189,14226.7834654549,388600.317194058
"39","b_t",1989,118268.551307136,155680.494330559,13270.6253664962,372685.995655726
"40","b_t",1990,119429.725471174,156796.435990034,13133.3135910493,365466.505531596
"41","b_t",1991,136294.381677123,194130.756391673,12715.0138445628,439201.253971542
"42","b_t",1992,115146.93558906,152032.738170669,13004.1000952722,375683.43441762
"43","b_t",1993,132202.956423336,160251.64720536,13450.3682463699,398274.249531798
"44","b_t",1994,141979.149425706,172347.656853425,15749.6187896979,433289.587016593
"45","b_t",1995,159843.639309838,190696.340605791,16523.8306076263,503823.964015399
"46","b_t",1996,164523.376981971,238697.464572843,16967.5089367283,524501.680790654
"47","b_t",1997,193677.993266621,228386.582392186,24359.0357830147,560224.09022328
"48","b_t",1998,203077.617528266,245822.612673202,26232.5342322756,629889.204863841
"49","b_t",1999,177840.101181484,208744.568219932,20820.1050478746,549905.366755429
"50","b_t",2000,196421.402375427,309097.943336693,17598.6756827133,578096.259312546
"51","b_t",2001,190330.436736065,266939.409290975,14243.6069337673,582674.351559932
"52","b_t",2002,178261.657360306,221485.088310784,17509.1420663103,562131.858393815
"53","b_t",2003,153606.604967356,200488.156959711,14721.6587703321,485602.097234978
"54","b_t",2004,142230.092679273,189476.568817206,14257.9403389292,446243.020558227
"55","b_t",2005,127916.622347389,169199.073650454,15275.8540807391,390244.245720992
