"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,117179.457305751,139702.803640633,45830.001690694,218091.649721292
"2","b_t",1952,132583.64064442,159245.958676221,63029.3792423335,238544.037899883
"3","b_t",1953,143093.906986159,168241.793821033,76120.6858854801,260014.562773943
"4","b_t",1954,149168.120582833,167724.429569638,86529.9097911913,272802.224032289
"5","b_t",1955,154714.511915932,186369.60205116,90847.2119403512,281178.015459994
"6","b_t",1956,156814.793152233,189335.91215567,91947.3218987634,290023.409296512
"7","b_t",1957,158080.568551781,191781.105956175,91481.8912244898,281770.542798395
"8","b_t",1958,159482.028293512,198908.374090285,91723.7679391787,294296.515720667
"9","b_t",1959,158111.743352984,189362.009772317,91363.8779101629,294258.927536736
"10","b_t",1960,158235.781052547,189265.31520281,90112.7485703684,297170.796449182
"11","b_t",1961,157920.760914499,181103.27633114,91118.4406991769,285658.802508872
"12","b_t",1962,158360.347678217,190524.832056957,91164.494423795,289987.267882405
"13","b_t",1963,158400.635732771,190215.644790004,90833.4141754861,288757.193704104
"14","b_t",1964,157827.798957886,184522.180111689,91343.1719063029,290148.76171481
"15","b_t",1965,158435.047520778,182989.460946592,90533.239473784,288048.529773099
"16","b_t",1966,157848.919253889,187988.777366025,89608.8293607149,296875.116148733
"17","b_t",1967,157426.162206507,188878.475614897,89343.6141759077,287934.325416031
"18","b_t",1968,157390.213641777,198507.110161349,87479.9858013074,286658.474727039
"19","b_t",1969,156291.218183097,185434.35600264,88828.8230875671,282782.676823939
"20","b_t",1970,156382.415817425,194738.070608454,87882.939088434,290487.647680004
"21","b_t",1971,155932.490270636,184991.395421195,88265.732794371,284251.049995992
"22","b_t",1972,155885.357742495,186671.720722538,87786.3078864333,291872.834262681
"23","b_t",1973,153727.186111796,184103.845807002,85594.1780509503,282266.918464259
"24","b_t",1974,154200.956040339,182522.825317989,87137.7926300357,284906.198227067
"25","b_t",1975,154804.673723071,195350.070209775,87208.993145988,286228.690129751
"26","b_t",1976,153941.120818916,194209.401581809,85907.6217086715,286848.174951517
"27","b_t",1977,152421.142322837,189239.240639585,85182.8064737891,290288.081875502
"28","b_t",1978,150540.390026457,192499.519113432,84162.5096328601,287324.50420453
"29","b_t",1979,152836.437633608,190785.914336108,86159.3844454533,290064.720627118
"30","b_t",1980,149504.710663981,186227.247835029,83814.7332816799,280136.72601047
"31","b_t",1981,148457.097758461,188560.235005274,82788.6671618739,279568.334617478
"32","b_t",1982,148128.077928566,190597.998917311,81204.660081205,278327.672997533
"33","b_t",1983,148053.58383001,195963.518594582,81482.0058691823,275128.641153374
"34","b_t",1984,145546.544838537,188253.831913261,79612.8521004257,274074.161951694
"35","b_t",1985,147612.996971681,196814.89867474,82347.6791222525,272756.354234302
