"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,94861.3569117363,36876.5085296164,41228.2846063414,156410.194284683
"2","b_t",1952,103396.090190814,35231.0388712092,52854.9932317795,161367.267745696
"3","b_t",1953,110156.906443765,33028.977663542,65670.1239903531,165494.466789563
"4","b_t",1954,115517.214703167,32521.5693404079,73474.4846244897,170536.568540883
"5","b_t",1955,118648.801137107,32481.5779460088,78133.814919529,173338.75928912
"6","b_t",1956,120290.484297788,32446.7468434776,80110.3143061826,176229.91952567
"7","b_t",1957,119506.16547989,32586.5662385474,78910.3191924104,173502.133186694
"8","b_t",1958,116579.664313939,31979.6574575453,75054.1869151687,172624.148673665
"9","b_t",1959,116386.994826601,32053.1338227342,75874.1150545055,173159.477557268
"10","b_t",1960,113273.987926564,32437.8625580011,71564.0214550443,170666.274090602
"11","b_t",1961,111494.752342368,32576.2699132557,70446.2096379221,168840.398723412
"12","b_t",1962,109751.424875682,32653.4514196884,68200.6460986215,167275.720248627
"13","b_t",1963,109447.587426893,32420.2429191909,68148.0911919815,164440.437533816
"14","b_t",1964,109300.856416384,31887.0372711167,69415.1983127201,164221.355349111
"15","b_t",1965,109922.946341191,31752.6283315717,70674.7367895862,166627.245977052
"16","b_t",1966,107520.917086229,31487.0034081814,68106.1794507669,162295.340031222
"17","b_t",1967,105878.946192485,31005.4799567816,66984.7331352175,158908.975092415
"18","b_t",1968,105566.782842766,30628.2569239716,66876.8858756921,160428.63865667
"19","b_t",1969,104628.638409822,30706.924857534,65520.0655795389,157897.403974663
"20","b_t",1970,101945.80606269,30430.4321978657,63413.3705472084,154124.648645452
"21","b_t",1971,102812.381747958,29960.5383529453,65806.4223990228,154215.855159411
"22","b_t",1972,101954.903549505,29859.2461321387,65907.6065544129,153375.925749461
"23","b_t",1973,100996.551338366,29301.404058017,64660.1798679772,152200.129136426
"24","b_t",1974,99413.812780967,29026.2033214286,63490.592802798,148087.415945191
"25","b_t",1975,96922.7474986702,28426.3780847667,61411.8223686344,144829.36127127
"26","b_t",1976,94819.9368355837,27891.2069986894,60049.9459204277,141448.664268141
"27","b_t",1977,91296.6004325522,27309.3479166479,57829.3944441285,137100.359687752
"28","b_t",1978,89937.2158094036,26285.8796101713,56815.8203812549,134213.813109728
"29","b_t",1979,84541.0881369302,24540.0423857861,54441.8439382463,125540.646928194
"30","b_t",1980,78813.8185548592,23640.0791148028,49564.0255878911,119299.092480542
"31","b_t",1981,73357.397200181,21622.9768906062,47369.1387636948,110211.40415299
"32","b_t",1982,67375.6414860157,19922.5009483513,43228.3369608413,101616.747619418
"33","b_t",1983,61161.3937841706,17956.2318726881,39414.2723465439,91945.1272867045
"34","b_t",1984,59462.0987610682,17466.0967827103,38256.0092905119,90146.1848802323
"35","b_t",1985,59247.0709316329,17320.3526621578,38369.4589290513,89179.7117276954
"36","b_t",1986,60887.2205339833,18034.2183123324,38849.182006858,92170.0084451194
"37","b_t",1987,67248.9718015672,20065.5670205601,42690.3004917784,102452.270496904
"38","b_t",1988,76091.1184598894,22942.1999085078,47926.8700201628,115332.2656644
"39","b_t",1989,84779.9632704541,25840.7467061509,53652.808077354,128557.330452433
"40","b_t",1990,88619.8858950953,26835.2101191574,56305.4374121725,136193.3990035
"41","b_t",1991,92831.54637692,27585.397920834,58658.7514734017,142183.139718633
"42","b_t",1992,93455.4806873848,27694.8687942287,58825.2702396554,141551.365097135
"43","b_t",1993,97536.0865855534,29248.9012220698,61403.8039449741,147411.684877844
"44","b_t",1994,101940.393143183,30494.3308405004,64826.1540421364,154723.15567225
"45","b_t",1995,103657.835209658,31065.91158255,66004.3519033471,157745.501920439
"46","b_t",1996,102864.106683964,30700.7283511758,65732.1933695363,156614.357810463
"47","b_t",1997,100639.775280722,30255.0963021632,64152.3157270874,154139.180912558
"48","b_t",1998,98954.3043595251,29567.1802699907,62618.5798061478,150332.63102993
"49","b_t",1999,96708.8825107059,29091.0468577853,61367.5117293746,145837.579982549
"50","b_t",2000,93444.7678437674,28432.5857610474,58857.0649756973,143011.900276104
"51","b_t",2001,91200.8459292888,27394.3189773551,57724.976399713,137547.466742206
"52","b_t",2002,91064.7054828166,27052.0122538384,57730.7396718172,138567.763449023
"53","b_t",2003,90576.082740742,27486.7012387818,57313.0744335007,136991.839714061
"54","b_t",2004,92441.8225389552,27628.771764994,58842.448091184,139463.862778774
"55","b_t",2005,90496.8146548137,27316.9278481094,56781.3264442614,137699.877022676
"56","b_t",2006,92105.5271950544,27460.3422435034,58481.8906049781,139317.858646656
"57","b_t",2007,98697.7545242368,29240.9834188044,62694.0122597488,148726.669482257
"58","b_t",2008,105525.173582514,30949.0109051802,66830.8313576157,158911.153603368
"59","b_t",2009,109426.213688459,32750.1161107079,69925.7845372908,165398.60740475
"60","b_t",2010,113812.371439234,33770.2956384594,72803.3027538673,172935.521125605
"61","b_t",2011,118284.019735255,34931.2728428006,75320.9579251824,177519.266367009
"62","b_t",2012,120742.29870874,35708.4551077289,76988.5499907178,181686.825253297
"63","b_t",2013,121229.024416461,35899.3874553109,76787.5726361426,181745.202659943
"64","b_t",2014,122822.720152686,36406.8362596697,77935.2168888739,187112.62893288
"65","b_t",2015,121226.081652423,36146.0996616269,76692.7883280383,184995.594290162
"66","b_t",2016,118020.030946183,35185.4808029868,74768.6194313839,178560.229098569
"67","b_t",2017,115086.692506486,34408.2814840514,72851.5832397504,176386.825665034
"68","b_t",2018,113536.915628877,33347.556011845,72924.0716514414,172358.537001151
"69","b_t",2019,112173.110269773,33161.3039860139,71295.7033612843,169831.807476348
"70","bmsy",1951,65062.7262801073,16360.1111637573,43941.5925161322,92719.4191182873
"71","ck",1951,0.00894241630151568,0.00208474785168723,0.00593187556266683,0.0125166150909856
"72","ck",1952,0.0105683101745185,0.00246379291563036,0.00701039839224261,0.0147923632893467
"73","ck",1953,0.00975536323801711,0.00227427038365879,0.00647113697745472,0.0136544891901662
"74","ck",1954,0.0146330448570257,0.00341140557548819,0.00970670546618208,0.0204817337852492
"75","ck",1955,0.0186977795395328,0.00435901823534602,0.0124030125401215,0.0261711042811518
"76","ck",1956,0.0357696652060627,0.0083389914067489,0.0237275022506673,0.0500664603639426
"77","ck",1957,0.0560933386185984,0.0130770547060381,0.0372090376203646,0.0785133128434554
"78","ck",1958,0.0455250284440798,0.0106132617904077,0.030198639228122,0.0637209495541087
"79","ck",1959,0.0674745957296183,0.01573037015364,0.0447586974273951,0.0944435502319826
"80","ck",1960,0.0682875426661197,0.0159198926856115,0.045297958842183,0.0955814243311631
"81","ck",1961,0.070726383475624,0.0164884602815262,0.0469157430865467,0.0989950466287046
"82","ck",1962,0.065035754920114,0.0151618025577253,0.0431409131830315,0.091029927934441
"83","ck",1963,0.0642228079836126,0.0149722800257537,0.0426016517682436,0.0898920538352605
"84","ck",1964,0.0601580733011055,0.0140246673658959,0.0399053446943041,0.0842026833393579
"85","ck",1965,0.0804817467136411,0.018762730665185,0.0533868800640015,0.112649535818871
"86","ck",1966,0.0796687997771397,0.0185732081332135,0.0528476186492135,0.11151166171969
"87","ck",1967,0.0731652242851283,0.0170570278774409,0.0485335273309104,0.102408668926246
"88","ck",1968,0.0772299589676354,0.0180046405372988,0.0512298344048499,0.108098039422149
"89","ck",1969,0.0943018446341654,0.0219846137087016,0.0625543241153956,0.131993395504939
"90","ck",1970,0.0682875426661197,0.0159198926856115,0.045297958842183,0.0955814243311631
"91","ck",1971,0.0772299589676354,0.0180046405372988,0.0512298344048499,0.108098039422149
