"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,126040.976851248,126583.782579821,36640.2472783749,320951.037145393
"2","b_t",1952,139456.790237956,136771.103196216,45987.9860841407,357770.114208084
"3","b_t",1953,148679.464882682,142104.056905565,54647.7535277348,374976.668367891
"4","b_t",1954,156180.403886055,149967.888212713,58414.9216525532,394303.010368112
"5","b_t",1955,160658.304756794,155486.781979211,61827.8309526739,417017.136800747
"6","b_t",1956,162176.813160458,158230.97453871,61886.0885760485,428679.754816258
"7","b_t",1957,163498.876237637,160145.121505377,62050.4106859408,421123.037675588
"8","b_t",1958,163304.623040626,155482.342674534,61473.6384619235,430832.908790097
"9","b_t",1959,162676.743225118,150426.703669754,60651.698905608,421861.68491451
"10","b_t",1960,162759.271537833,151928.438451462,62563.5216426325,428402.692160909
"11","b_t",1961,163374.281792354,152702.790152136,62440.2501442709,412936.676231743
"12","b_t",1962,163598.065649185,154044.062624487,62237.6182855893,422494.658424413
"13","b_t",1963,163303.161816073,155924.95049339,62029.1916513534,415985.44215746
"14","b_t",1964,162676.722987856,151966.613806191,61434.1148345063,414270.650118526
"15","b_t",1965,162962.01368803,155470.633915049,61457.6510709698,422453.073713189
"16","b_t",1966,162226.285843035,155001.027370755,59075.8580505236,428919.012915039
"17","b_t",1967,159982.814143798,152992.258932143,59264.7394775507,420146.535438624
"18","b_t",1968,160184.847102714,151587.907120614,58779.5706508001,425105.075734661
"19","b_t",1969,159081.984230491,151063.255363871,57649.6810890959,407475.611667212
"20","b_t",1970,158815.492637455,151395.775751092,55572.2295203394,403205.682277189
"21","b_t",1971,157168.244448131,150577.645034013,53795.5750222209,407842.80368512
"22","b_t",1972,157545.334067831,155669.313901259,54974.965550866,420256.706686157
"23","b_t",1973,155566.046520294,156004.564032828,54225.7175479265,399355.916198626
"24","b_t",1974,153975.084931581,154198.545354399,53526.6464115046,415669.932674158
"25","b_t",1975,154977.223244513,163447.94872543,53447.1953805438,416906.102021415
"26","b_t",1976,156069.258321476,159953.252069837,54231.0535622727,403750.432855524
"27","b_t",1977,156827.307970463,155911.78386227,54987.6799187557,401048.016910746
"28","b_t",1978,158277.605799454,163993.76855558,55222.2285602121,423959.851507949
"29","b_t",1979,158962.311051385,163015.997058703,55104.6670406295,424955.7422919
"30","b_t",1980,157452.856779412,158292.313157626,53979.5381144544,436582.953867072
"31","b_t",1981,155786.392585501,154061.620451209,54702.8214630196,428860.691775656
"32","b_t",1982,156559.037392324,156673.409274604,55886.5834532258,439717.292234734
"33","b_t",1983,157085.998109034,160636.293512793,56057.0741151209,415110.840187885
"34","b_t",1984,156288.323456492,156074.719404534,56564.9219464364,416132.230701165
"35","b_t",1985,154083.984191483,157592.841171061,55434.0471272069,403299.883873907
"36","b_t",1986,151684.89123537,158365.943898048,52087.8609431131,410327.155533072
