"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,12209.462546615,12141.262547015,3841.61965818717,30126.382799021
"2","b_t",1952,13074.680959836,12858.9869535812,4060.68464208566,32876.7155559394
"3","b_t",1953,14844.2879111153,14330.7559221712,4595.10525678148,37402.0309067722
"4","b_t",1954,20954.7088619013,20689.2700643773,6473.08310352516,51261.2328106912
"5","b_t",1955,24485.3640857424,24177.433103076,7580.86025376664,59913.7766120654
"6","b_t",1956,28409.8533385372,28052.7548660955,8979.13948499102,70294.2817552084
"7","b_t",1957,37905.7746578089,37029.9983519758,11884.2029113288,97936.5321363087
"8","b_t",1958,51399.5839527444,51015.4114258749,16128.7333229935,131717.881291996
"9","b_t",1959,60277.3138736065,60354.4147473369,18911.1539715616,154759.31648519
"10","b_t",1960,68330.8785492316,67665.8953265721,21372.1651562288,174010.705604209
"11","b_t",1961,73855.6148811415,72474.7542773169,23256.2010691027,187624.361754998
"12","b_t",1962,79060.6074738901,77748.9761697512,24701.0196766628,205295.876063866
"13","b_t",1963,83749.0010958726,83448.9781562918,26383.9619097792,212848.774667961
"14","b_t",1964,83349.6851757366,84229.0199405589,25758.0126206001,212833.93969687
"15","b_t",1965,73309.4700319539,72166.6597267919,22941.4226067091,185485.643925081
"16","b_t",1966,73063.0861990956,71945.8207729643,23220.4407313819,183930.355442795
"17","b_t",1967,74912.8752157208,74356.6744322703,23642.1775694307,192335.639650607
"18","b_t",1968,102785.422607627,104512.146444507,32411.7464153073,261527.715054115
"19","b_t",1969,123630.510196545,122581.755764456,38879.778577044,315994.539652076
"20","b_t",1970,141285.062050392,141801.721250395,43949.7605521766,357099.45856497
"21","b_t",1971,133094.389534067,132152.256726413,41671.9647134602,347808.809101782
"22","b_t",1972,110657.15912535,108474.41335771,35199.9277266974,288661.974659138
"23","b_t",1973,109250.428962272,106837.715424237,34327.1699674731,276886.671352636
"24","b_t",1974,151177.166692036,147838.815847291,47880.2988214133,389340.002591248
"25","b_t",1975,206271.278168981,198624.458549272,66179.1289087957,529656.62152229
"26","b_t",1976,222081.665169929,210181.117587118,71376.4432223108,571892.852534894
"27","b_t",1977,220351.648858932,216100.945599937,71418.0619900897,560019.693405375
"28","b_t",1978,232683.771253204,226571.885475679,75288.0026868571,597194.416136864
"29","b_t",1979,223271.944891032,220566.944597632,70960.8511511979,564458.785300856
"30","b_t",1980,187381.687190494,182424.512843554,59371.9828755543,474328.953696216
"31","b_t",1981,172344.938848594,173201.532050402,54004.4170173232,448580.983933895
"32","b_t",1982,166368.05471978,162860.803830026,52785.5756223921,432228.380379852
"33","b_t",1983,212793.52501193,205393.84005413,69523.8658513641,541415.596580702
"34","b_t",1984,223212.906158921,218065.938554578,71991.4099432454,553472.893724719
"35","b_t",1985,236946.117204122,232924.161229355,77370.1632653112,595013.538456554
"36","b_t",1986,252157.079232931,247575.700205374,80322.3254489085,639912.058772283
"37","b_t",1987,247582.692539882,241704.910693609,78905.9605081614,629534.50941093
"38","b_t",1988,246749.575350467,239874.582430252,78438.2213580458,636161.871773559
"39","b_t",1989,237713.593583824,232716.865527765,75971.4389646036,613525.558086736
"40","b_t",1990,226684.196081229,223454.238498481,71371.7652433571,572452.160967655
"41","b_t",1991,236870.645081389,233266.634941596,75284.2716329761,619215.956016763
"42","b_t",1992,162917.954452458,155271.637420155,54389.4162764733,405275.910524385
"43","b_t",1993,136546.530770372,136211.486480945,43763.5149774633,345982.371246831
"44","b_t",1994,130970.136127811,128699.283797022,42157.3244755585,330035.422568128
"45","b_t",1995,126794.741038327,122940.479737033,41796.1995609048,319985.7331183
"46","b_t",1996,152754.72528726,148559.495697902,50362.3285461217,398767.804024716
"47","b_t",1997,151561.011124114,147199.538859666,49064.8931946387,392898.36516729
"48","b_t",1998,145388.141898927,142930.286856137,47603.6605328396,374829.063697457
"49","b_t",1999,150758.255006511,146156.249432785,48950.5203523102,392631.109168707
"50","b_t",2000,135613.708916312,132583.441497053,44478.5927615819,341154.452039192
"51","b_t",2001,121162.44487667,119836.266835941,39430.1764367418,305067.608598799
"52","b_t",2002,133865.563999163,133181.716243332,44271.9401950788,340138.408040961
"53","b_t",2003,135378.890439824,131064.44688361,45219.2932682784,334916.943935475
"54","b_t",2004,152312.961409813,149110.201270458,49813.6731862977,381971.271753273
"55","b_t",2005,170877.546174228,170613.642787069,54953.6439320734,439935.428402297
"56","b_t",2006,180872.681717151,179000.144809774,58641.4553268913,442891.084960452
"57","b_t",2007,187214.759428449,187790.265045601,59773.5250465236,479578.899805269
"58","b_t",2008,207487.491307644,209760.740481183,67205.1939334582,528478.678549234
"59","b_t",2009,199448.963497108,193049.672074946,65800.8581975631,498412.422936353
"60","b_t",2010,219967.488839035,218540.117789665,71305.9035074557,559353.439505037
"61","b_t",2011,221382.702060348,214775.772022191,72557.7107390972,546755.3022159
"62","b_t",2012,239053.721909815,235283.251425013,75424.2485952773,597552.180006552
"63","b_t",2013,227390.517611685,220799.705757705,76712.0448145664,576599.642514044
"64","b_t",2014,207891.469222383,202167.882994073,69477.8054747792,520832.615910872
"65","b_t",2015,223787.286275589,218055.355050565,73418.5608944077,562486.079974592
"66","b_t",2016,204255.331259823,199457.928450274,65432.5191085452,511673.08201407
"67","b_t",2017,186428.580563782,183997.419105378,61031.5075120468,468972.785419068
"68","b_t",2018,168140.236414352,164620.360834561,54710.3643712057,428228.076627563
"69","b_t",2019,155154.924174554,154038.473468807,49398.1785710519,400829.553571678
"70","bmsy",1951,107753.014846194,91616.3104582119,44567.218977951,250393.329348851
"71","ck",1951,0.0019187046917998,0.000868396680404109,0.000599057580731577,0.00336570250424638
"72","ck",1952,0.0019187046917998,0.000868396680404109,0.000599057580731577,0.00336570250424638
"73","ck",1953,0.0019187046917998,0.000868396680404109,0.000599057580731577,0.00336570250424638
"74","ck",1954,0.00383740938359961,0.00173679336080822,0.00119811516146315,0.00673140500849276
"75","ck",1955,0.00383740938359961,0.00173679336080822,0.00119811516146315,0.00673140500849276
"76","ck",1956,0.00383740938359961,0.00173679336080822,0.00119811516146315,0.00673140500849276
"77","ck",1957,0.00575611407539941,0.00260519004121233,0.00179717274219473,0.0100971075127391
"78","ck",1958,0.00895395522839909,0.00405251784188584,0.00279560204341403,0.0157066116864831
"79","ck",1959,0.00959352345899902,0.00434198340202054,0.00299528790365789,0.0168285125212319
"80","ck",1960,0.0108726599201989,0.00492091452228995,0.0033946596241456,0.0190723141907295
"81","ck",1961,0.0115122281507988,0.00521038008242465,0.00359434548438946,0.0201942150254783
"82","ck",1962,0.0121517963813988,0.00549984564255936,0.00379403134463332,0.0213161158602271
"83","ck",1963,0.0134309328425986,0.00607877676282876,0.00419340306512104,0.0235599175297247
"84","ck",1964,0.0140705010731986,0.00636824232296347,0.0043930889253649,0.0246818183644735
"85","ck",1965,0.010233091689599,0.00463144896215525,0.00319497376390175,0.0179504133559807
"86","ck",1966,0.0108726599201989,0.00492091452228995,0.0033946596241456,0.0190723141907295
"87","ck",1967,0.00895395522839909,0.00405251784188584,0.00279560204341403,0.0157066116864831
"88","ck",1968,0.0172683422261982,0.00781557012363698,0.00539151822658419,0.0302913225382174
"89","ck",1969,0.019826615148598,0.00897343236417579,0.00619026166755963,0.0347789258772126
"90","ck",1970,0.0249431609933975,0.0112891568452534,0.0077877485495105,0.043754132555203
"91","ck",1971,0.0223848880709977,0.0101312946047146,0.00698900510853507,0.0392665292162078
"92","ck",1972,0.0147100693037985,0.00665770788309817,0.00459277478560876,0.0258037191992223
"93","ck",1973,0.0127913646119987,0.00578931120269406,0.00399371720487718,0.0224380166949759
"94","ck",1974,0.0230564347131276,0.010435233442856,0.00719867526179112,0.040444525092694
"95","ck",1975,0.0382525758721821,0.0173129351516566,0.0119432113011852,0.0671008889263254
"96","ck",1976,0.0371333314686322,0.0168063704214209,0.0115937610457585,0.065137562465515
"97","ck",1977,0.0399474316832719,0.0180800188860135,0.0124723788308314,0.0700739261384097
"98","ck",1978,0.0472513008767232,0.0213857155827519,0.0147527913548163,0.0828860336712409
"99","ck",1979,0.0457355241702013,0.0206996822052326,0.0142795358660384,0.0802271286928862
"100","ck",1980,0.0336093105180266,0.0152114151850786,0.0104934919558148,0.0589558888660491
"101","ck",1981,0.0306800880218789,0.0138856629196617,0.00957893071589792,0.0538175830428996
"102","ck",1982,0.0250646789572114,0.011344155301679,0.00782568886295684,0.0439672937138052
"103","ck",1983,0.0457419198525073,0.020702576860834,0.0142815327246408,0.0802383477012337
"104","ck",1984,0.0424993089233657,0.019234986470951,0.0132691254132044,0.0745503104690574
"105","ck",1985,0.0454669055133494,0.020578106669976,0.0141956678047359,0.0797559303422918
"106","ck",1986,0.0512358109533608,0.0231890860223911,0.0159968342641355,0.0898754758717259
"107","ck",1987,0.0481530920818691,0.0217938620225418,0.0150343484177601,0.0844679138482367
"108","ck",1988,0.048850221453223,0.0221093794830886,0.015252006005426,0.0856907857581129
"109","ck",1989,0.0466948765161012,0.0211338805454347,0.0145790646564041,0.0819099799450094
"110","ck",1990,0.0410346976752918,0.0185721103382425,0.012811844793246,0.0719811575574826
"111","ck",1991,0.0470978045013792,0.0213162438483195,0.0147048667483578,0.0826167774709012
"112","ck",1992,0.0525789042376206,0.0237969636986739,0.0164161745706477,0.0922314676246983
"113","ck",1993,0.0437592583376475,0.0198052336244164,0.0136625065578848,0.0767604551135125
"114","ck",1994,0.0497392212937569,0.0225117366116758,0.0155295693511649,0.0872502279184137
"115","ck",1995,0.049406645813845,0.0223612145204058,0.0154257327038381,0.0866668394843443
"116","ck",1996,0.0675128224221291,0.0305559845278192,0.0210788394073418,0.118427852116083
"117","ck",1997,0.0594670540811819,0.0269145077813247,0.018566791285474,0.104314339614943
"118","ck",1998,0.0554441699107083,0.0250937694080774,0.0173107672245401,0.0972575833643729
"119","ck",1999,0.0731857926275505,0.0331235440462141,0.0228500529877048,0.128379112520304
"120","ck",2000,0.0697641025938409,0.0315749032994934,0.0217817336354001,0.122376943054398
"121","ck",2001,0.0544656305178904,0.0246508871010713,0.017005247858367,0.0955410750872073
"122","ck",2002,0.0632852764178636,0.0286426171753289,0.0197589158711299,0.111012087598393
"123","ck",2003,0.0626904779634056,0.0283734142044036,0.0195732080211031,0.109968719822077
"124","ck",2004,0.068907081164837,0.0311870194489129,0.0215141545826734,0.120873595935835
"125","ck",2005,0.0638097223669555,0.0288799789346393,0.0199226582765298,0.111932046282887
"126","ck",2006,0.0624410463534716,0.0282605226359511,0.019495330535608,0.109531178496525
"127","ck",2007,0.0537748968288425,0.0243382642961258,0.0167895871293037,0.0943294221856786
"128","ck",2008,0.0636498303093055,0.0288076125446056,0.0198727368114689,0.1116515710742
"129","ck",2009,0.0514596598340707,0.0232903989684382,0.0160667243152209,0.090268141163888
"130","ck",2010,0.0569151768410882,0.0257595401963872,0.017770044703101,0.0998379552842952
"131","ck",2011,0.0600490611710279,0.0271779214410473,0.0187485054182959,0.105335269374564
"132","ck",2012,0.0699495773807149,0.0316588483119325,0.0218396425348709,0.122702294296476
"133","ck",2013,0.0699623687453269,0.0316646376231352,0.0218436362520757,0.122724732313171
"134","ck",2014,0.068235534522707,0.0308830806107715,0.0213044844294173,0.119695600059349
"135","ck",2015,0.0913047606004467,0.0413241033648302,0.0285071534084133,0.160162563168738
"136","ck",2016,0.0850433876228733,0.0384902355311115,0.0265522288366259,0.149179153996547
"137","ck",2017,0.0826386110758176,0.037401845025005,0.025801410002109,0.144960806857892
"138","ck",2018,0.0727572819130486,0.0329296021209238,0.0227162634613414,0.127627438961023
"139","ck",2019,0.0715206767391836,0.0323699204604034,0.0223301708505599,0.125458243697036
"140","crashed",1951,0,0,0,0
"141","delta",1951,100,0,100,100
"142","dep_t",1951,0.0536788665109556,0.00974722248962426,0.0393209538277477,0.0704443555078437
"143","dep_t",1952,0.0573803656918854,0.0102678623276498,0.0416049199875642,0.0743010789125972
"144","dep_t",1953,0.0653867907010136,0.0113458687545543,0.0482477666515357,0.0839625867700297
"145","dep_t",1954,0.0920800474652939,0.015922644198684,0.067566546811189,0.117922191185524
"146","dep_t",1955,0.107658562103865,0.0184212553054798,0.0795276345221138,0.137220389989066
"147","dep_t",1956,0.124628881534347,0.0212970131246218,0.0916861414391707,0.160278892783083
"148","dep_t",1957,0.166969726809484,0.0287811214762481,0.123026847435921,0.215087736094551
"149","dep_t",1958,0.226079261116797,0.0386466827504424,0.166418897019891,0.288581130166048
"150","dep_t",1959,0.264706458643827,0.0446606351701321,0.197650554259333,0.339179279621754
